Player,Matches,Runs,Average,100s,50s,Year
K Christie (HKG),1,0,0.00,0,0,2016
Aamer Hameed (PAK),1,-,-,-,-,1977
Aamer Hameed (PAK),1,-,-,-,-,1978
Aamer Hanif (PAK),1,17,-,0,0,1993
Aamer Hanif (PAK),4,72,36.00,0,0,1995
Aamer Malik (PAK),4,31,7.75,0,0,1988
Aamer Malik (PAK),17,468,31.20,0,5,1989
Aamer Malik (PAK),2,37,18.50,0,0,1990
Aamer Malik (PAK),1,20,20.00,0,0,1994
Aamer Nazir (PAK),6,1,-,0,0,1993
Aamer Nazir (PAK),3,12,12.00,0,0,1995
Aamer Sohail (PAK),1,32,32.00,0,0,1990
Aamer Sohail (PAK),4,106,26.50,0,1,1991
Aamer Sohail (PAK),22,598,27.18,1,3,1992
Aamer Sohail (PAK),13,409,31.46,0,3,1993
Aamer Sohail (PAK),28,1053,39.00,2,6,1994
Aamer Sohail (PAK),17,484,30.25,0,4,1995
Aamer Sohail (PAK),30,1090,37.58,2,7,1996
Aamer Sohail (PAK),15,313,22.35,0,4,1997
Aamer Sohail (PAK),19,566,33.29,0,3,1998
Aamer Sohail (PAK),4,53,13.25,0,0,1999
Aamer Sohail (PAK),3,76,25.33,0,0,2000
Aamer Yamin (PAK),3,63,63.00,0,1,2015
Aamer Yamin (PAK),1,32,-,0,0,2018
Aaqib Javed (PAK),3,0,0.00,0,0,1988
Aaqib Javed (PAK),20,2,-,0,0,1989
Aaqib Javed (PAK),12,1,0.50,0,0,1990
Aaqib Javed (PAK),8,7,3.50,0,0,1991
Aaqib Javed (PAK),25,24,12.00,0,0,1992
Aaqib Javed (PAK),20,17,5.66,0,0,1993
Aaqib Javed (PAK),15,18,18.00,0,0,1994
Aaqib Javed (PAK),18,75,25.00,0,0,1995
Aaqib Javed (PAK),13,93,23.25,0,0,1996
Aaqib Javed (PAK),18,28,4.66,0,0,1997
Aaqib Javed (PAK),11,2,2.00,0,0,1998
Aarif Sheikh (NEPAL),3,19,6.33,0,0,2018
Aarif Sheikh (NEPAL),3,75,37.50,0,0,2019
VR Aaron (INDIA),4,6,-,0,0,2011
VR Aaron (INDIA),5,2,2.00,0,0,2014
Aaron Jones (USA),1,2,2.00,0,0,2019
JS Ababu (KENYA),2,11,11.00,0,0,1999
JS Ababu (KENYA),1,17,17.00,0,0,2001
JS Ababu (KENYA),6,1,1.00,0,0,2006
KJ Abbott (SA),2,5,5.00,0,0,2013
KJ Abbott (SA),7,29,14.50,0,0,2014
KJ Abbott (SA),11,26,8.66,0,0,2015
KJ Abbott (SA),8,16,5.33,0,0,2016
SA Abbott (AUS),1,3,3.00,0,0,2014
Abdullah Mazari (AFG),2,3,3.00,0,0,2010
Abdul Jabbar (CAN),2,59,29.50,0,0,2007
Abdul Qadir (PAK),6,62,31.00,0,0,1983
Abdul Qadir (PAK),11,70,7.77,0,0,1984
Abdul Qadir (PAK),11,62,62.00,0,0,1985
Abdul Qadir (PAK),15,127,15.87,0,0,1986
Abdul Qadir (PAK),19,146,24.33,0,0,1987
Abdul Qadir (PAK),13,34,6.80,0,0,1988
Abdul Qadir (PAK),24,130,16.25,0,0,1989
Abdul Qadir (PAK),3,3,1.00,0,0,1990
Abdul Qadir (PAK),2,7,-,0,0,1993
Abdul Razzaq (PAK),2,0,-,0,0,1996
Abdul Razzaq (PAK),2,8,8.00,0,0,1997
Abdul Razzaq (PAK),9,93,13.28,0,0,1998
Abdul Razzaq (PAK),18,367,30.58,0,4,1999
Abdul Razzaq (PAK),38,661,27.54,0,3,2000
Abdul Razzaq (PAK),20,384,24.00,0,2,2001
Abdul Razzaq (PAK),30,675,35.52,1,3,2002
Abdul Razzaq (PAK),30,600,33.33,0,2,2003
Abdul Razzaq (PAK),26,640,42.66,1,3,2004
Abdul Razzaq (Asia/PAK),26,520,26.00,0,3,2005
Abdul Razzaq (PAK),23,455,37.91,0,2,2006
Abdul Razzaq (PAK),7,62,12.40,0,0,2007
Abdul Razzaq (PAK),6,125,20.83,0,0,2009
Abdul Razzaq (PAK),11,331,55.16,1,0,2010
Abdul Razzaq (PAK),17,159,15.90,0,1,2011
Abdul Rehman (UAE),1,1,1.00,0,0,2004
Abdul Shakoor (UAE),2,44,22.00,0,0,2015
Abdul Shakoor (UAE),1,10,10.00,0,0,2018
Abdur Rauf (PAK),4,-,-,-,-,2008
Abdur Razzak (BDESH),5,39,13.00,0,0,2004
Abdur Razzak (BDESH),1,0,0.00,0,0,2005
Abdur Razzak (BDESH),26,86,17.20,0,0,2006
Abdur Razzak (BDESH),23,117,13.00,0,0,2007
Abdur Razzak (BDESH),26,225,17.30,0,0,2008
Abdur Razzak (BDESH),8,20,6.66,0,0,2009
Abdur Razzak (BDESH),22,76,10.85,0,0,2010
Abdur Razzak (BDESH),18,87,9.66,0,0,2011
Abdur Razzak (BDESH),9,13,2.60,0,0,2012
Abdur Razzak (BDESH),9,95,47.50,0,1,2013
Abdur Razzak (BDESH),6,21,21.00,0,0,2014
Abdur Rehman (PAK),3,7,7.00,0,0,2006
Abdur Rehman (PAK),8,52,8.66,0,0,2007
Abdur Rehman (PAK),3,10,10.00,0,0,2010
Abdur Rehman (PAK),7,10,3.33,0,0,2011
Abdur Rehman (PAK),4,25,12.50,0,0,2012
Abdur Rehman (PAK),5,30,10.00,0,0,2013
Abdur Rehman (PAK),1,8,8.00,0,0,2014
Abid Ali (PAK),3,117,39.00,1,0,2019
S Abid Ali (INDIA),2,23,11.50,0,0,1974
S Abid Ali (INDIA),3,70,70.00,0,1,1975
S Abrahams (SA),1,16,-,0,0,2000
Abul Hasan (BDESH),1,3,3.00,0,0,2013
Abul Hasan (BDESH),2,1,1.00,0,0,2014
Abul Hasan (BDESH),1,7,7.00,0,0,2018
Abul Hasan (BDESH),2,-,-,-,-,2012
Abul Hasan (BDESH),1,-,-,-,-,2015
Abu Hider (BDESH),2,1,1.00,0,0,2018
Abu Jayed (BDESH),2,-,-,-,-,2019
MR Adair (IRE),6,93,18.60,0,0,2019
AR Adams (NZ),3,18,18.00,0,0,2001
AR Adams (NZ),13,187,23.37,0,0,2002
AR Adams (NZ),12,128,18.28,0,0,2003
AR Adams (NZ),4,9,4.50,0,0,2004
AR Adams (NZ),7,67,22.33,0,0,2005
AR Adams (NZ),2,9,4.50,0,0,2006
AR Adams (NZ),1,1,1.00,0,0,2007
CJ Adams (ENG),2,28,14.00,0,0,1998
CJ Adams (ENG),3,43,21.50,0,0,2000
JC Adams (WI),1,17,17.00,0,0,1992
JC Adams (WI),22,258,51.60,0,2,1993
JC Adams (WI),13,214,23.77,0,2,1994
JC Adams (WI),13,203,22.55,0,2,1995
JC Adams (WI),14,213,30.42,0,1,1996
JC Adams (WI),11,133,22.16,0,0,1997
JC Adams (WI),25,638,37.52,0,4,1999
JC Adams (WI),18,352,23.46,0,3,2000
JC Adams (WI),10,176,22.00,0,0,2001
PR Adams (SA),7,10,3.33,0,0,1996
PR Adams (SA),3,0,-,0,0,1997
PR Adams (SA),1,15,-,0,0,1998
PR Adams (SA),2,2,-,0,0,2000
PR Adams (SA),1,6,6.00,0,0,2001
PR Adams (SA),7,33,-,0,0,2003
PR Adams (SA),2,-,-,-,-,1999
PR Adams (SA),1,-,-,-,-,2002
Adeel Raja (NL),2,7,3.50,0,0,2002
Adeel Raja (NL),3,2,2.00,0,0,2003
Adeel Raja (NL),4,10,10.00,0,0,2007
Adeel Raja (NL),9,9,2.25,0,0,2010
Adeel Raja (NL),2,0,0.00,0,0,2011
Adeel Raja (NL),1,-,-,-,-,2008
Adnan Akmal (PAK),3,51,51.00,0,0,2011
Adnan Akmal (PAK),2,11,5.50,0,0,2012
Adnan Mufti (UAE),7,89,29.66,0,0,2017
Adnan Mufti (UAE),11,241,26.77,0,1,2018
Afsar Zazai (AFG),4,139,34.75,0,2,2014
Afsar Zazai (AFG),10,103,11.44,0,0,2015
Afsar Zazai (AFG),3,22,11.00,0,0,2017
Aftab Ahmed (BDESH),8,143,17.87,0,1,2004
Aftab Ahmed (BDESH),14,299,24.91,0,2,2005
Aftab Ahmed (BDESH),27,784,34.08,0,8,2006
Aftab Ahmed (BDESH),23,519,22.56,0,2,2007
Aftab Ahmed (BDESH),8,129,16.12,0,1,2008
Aftab Ahmed (BDESH),5,80,16.00,0,0,2010
Aftab Alam (AFG),3,6,-,0,0,2010
Aftab Alam (AFG),2,1,1.00,0,0,2014
Aftab Alam (AFG),7,18,6.00,0,0,2015
Aftab Alam (AFG),8,36,-,0,0,2018
Aftab Alam (AFG),4,5,5.00,0,0,2019
Afzaal Haider (HKG),2,22,11.00,0,0,2004
Afzaal Haider (HKG),2,0,0.00,0,0,2008
RG Aga (KENYA),2,1,0.50,0,0,2004
RG Aga (KENYA),2,12,12.00,0,0,2012
RG Aga (KENYA),6,36,9.00,0,0,2013
RG Aga (KENYA),2,101,50.50,0,1,2014
AC Agar (AUS),2,5,5.00,0,0,2015
AC Agar (AUS),2,9,9.00,0,0,2017
AC Agar (AUS),5,130,26.00,0,0,2018
AB Agarkar (INDIA),30,177,16.09,0,0,1998
AB Agarkar (INDIA),11,43,7.16,0,0,1999
AB Agarkar (INDIA),28,221,22.10,0,1,2000
AB Agarkar (INDIA),12,74,14.80,0,0,2001
AB Agarkar (INDIA),26,261,23.72,0,1,2002
AB Agarkar (INDIA),14,104,13.00,0,0,2003
AB Agarkar (INDIA),13,179,22.37,0,1,2004
AB Agarkar (INDIA),16,61,7.62,0,0,2005
AB Agarkar (INDIA),24,78,6.50,0,0,2006
AB Agarkar (INDIA),17,71,8.87,0,0,2007
JP Agnew (ENG),3,2,-,0,0,1985
FS Ahangama (SL),1,-,-,-,-,1985
KK Ahmed (INDIA),6,4,4.00,0,0,2018
KK Ahmed (INDIA),2,5,5.00,0,0,2019
Ahmed Kamal (BDESH),1,11,11.00,0,0,1999
Ahmed Raza (UAE),4,31,10.33,0,0,2014
Ahmed Raza (UAE),2,16,8.00,0,0,2015
Ahmed Raza (UAE),2,3,3.00,0,0,2016
Ahmed Raza (UAE),7,88,22.00,0,0,2017
Ahmed Raza (UAE),10,94,11.75,0,1,2018
Ahmed Shah (AFG),1,2,2.00,0,0,2009
Ahmed Shehzad (PAK),4,106,26.50,0,0,2009
Ahmed Shehzad (PAK),15,371,26.50,2,0,2011
Ahmed Shehzad (PAK),21,809,38.52,2,5,2013
Ahmed Shehzad (PAK),16,629,39.31,2,4,2014
Ahmed Shehzad (PAK),17,570,33.52,0,4,2015
Ahmed Shehzad (PAK),2,25,12.50,0,0,2016
Ahmed Shehzad (PAK),6,95,15.83,0,1,2017
Ahsan Malik (NL),2,0,-,0,0,2012
Ahsan Malik (NL),5,14,-,0,0,2013
Ahsan Malik (NL),3,-,-,-,-,2011
Ahsan Malik (NL),2,-,-,-,-,2014
Aijaz Ali (USA),2,5,2.50,0,0,2004
DS Airee (NEPAL),3,92,30.66,0,0,2018
DS Airee (NEPAL),3,16,5.33,0,0,2019
Aizaz Khan (HKG),2,71,35.50,0,0,2014
Aizaz Khan (HKG),2,37,-,0,0,2015
Aizaz Khan (HKG),6,88,17.60,0,0,2016
Aizaz Khan (HKG),4,14,14.00,0,0,2017
Aizaz Khan (HKG),5,50,10.00,0,0,2018
Aizaz Cheema (PAK),7,9,9.00,0,0,2011
Aizaz Cheema (PAK),7,17,8.50,0,0,2012
Akhtar Sarfraz (PAK),3,52,17.33,0,0,1997
Akhtar Sarfraz (PAK),1,14,14.00,0,0,1998
Akram Khan (BDESH),2,30,30.00,0,0,1988
Akram Khan (BDESH),4,60,15.00,0,0,1990
Akram Khan (BDESH),3,92,30.66,0,0,1995
Akram Khan (BDESH),7,195,27.85,0,2,1997
Akram Khan (BDESH),5,79,15.80,0,0,1998
Akram Khan (BDESH),10,227,25.22,0,2,1999
Akram Khan (BDESH),4,113,28.25,0,1,2000
Akram Khan (BDESH),3,61,20.33,0,0,2001
Akram Khan (BDESH),6,119,19.83,0,0,2003
Akram Raza (PAK),5,40,40.00,0,0,1989
Akram Raza (PAK),7,14,7.00,0,0,1990
Akram Raza (PAK),4,1,1.00,0,0,1991
Akram Raza (PAK),28,124,31.00,0,0,1994
Akram Raza (PAK),4,14,4.66,0,0,1995
Akram Raza (PAK),1,-,-,-,-,1992
Alawi Shukri (UAE),1,1,1.00,0,0,2008
TM Alderman (AUS),7,10,10.00,0,0,1981
TM Alderman (AUS),7,2,1.00,0,0,1982
TM Alderman (AUS),4,7,7.00,0,0,1984
TM Alderman (AUS),5,8,4.00,0,0,1985
TM Alderman (AUS),3,0,0.00,0,0,1988
TM Alderman (AUS),16,0,0.00,0,0,1989
TM Alderman (AUS),19,5,2.50,0,0,1990
TM Alderman (AUS),4,-,-,-,-,1991
GW Aldridge (NZ),2,-,-,-,-,2011
RP Alexander (USA),2,34,17.00,0,0,2004
Kabir Ali (ENG),8,91,30.33,0,0,2005
Kabir Ali (ENG),5,2,0.66,0,0,2006
Kabir Ali (ENG),1,-,-,-,-,2003
MM Ali (ENG),12,421,35.08,1,3,2014
MM Ali (ENG),19,376,25.06,1,0,2015
MM Ali (ENG),15,145,16.11,0,0,2016
MM Ali (ENG),17,402,44.66,1,2,2017
MM Ali (ENG),24,277,17.31,0,0,2018
MM Ali (ENG),9,70,17.50,0,0,2019
RW Ali (KENYA),7,7,-,0,0,1996
RW Ali (KENYA),2,-,-,-,-,1997
Ali Asad (UAE),2,21,21.00,0,0,2004
Ali Khan (USA),1,3,3.00,0,0,2019
DI Allan (KENYA),2,35,17.50,0,0,2011
DI Allan (KENYA),2,18,9.00,0,0,2012
DI Allan (KENYA),1,18,18.00,0,0,2013
FA Allen (WI),4,25,6.25,0,0,2018
FA Allen (WI),3,7,7.00,0,0,2019
MW Alleyne (ENG),4,76,25.33,0,0,1999
MW Alleyne (ENG),6,75,18.75,0,1,2000
MJD Allingham (SCOT),3,11,3.66,0,0,1999
GI Allott (NZ),3,4,4.00,0,0,1997
GI Allott (NZ),2,3,3.00,0,0,1998
GI Allott (NZ),17,7,7.00,0,0,1999
GI Allott (NZ),9,3,1.50,0,0,2000
PJW Allott (ENG),3,5,2.50,0,0,1982
PJW Allott (ENG),7,8,4.00,0,0,1983
PJW Allott (ENG),3,2,2.00,0,0,1985
Alok Kapali (BDESH),11,228,25.33,0,1,2002
Alok Kapali (BDESH),21,484,24.20,0,3,2003
Alok Kapali (BDESH),11,102,9.27,0,0,2004
Alok Kapali (BDESH),2,4,4.00,0,0,2005
Alok Kapali (BDESH),10,146,18.25,0,1,2006
Alok Kapali (BDESH),10,206,20.60,1,0,2008
Alok Kapali (BDESH),4,65,16.25,0,0,2011
Al-Amin Hossain (BDESH),11,3,1.50,0,0,2014
Al-Amin Hossain (BDESH),3,1,-,0,0,2015
Al Sahariar (BDESH),4,99,33.00,0,1,1999
Al Sahariar (BDESH),1,13,13.00,0,0,2000
Al Sahariar (BDESH),5,94,18.80,0,1,2001
Al Sahariar (BDESH),12,114,9.50,0,0,2002
Al Sahariar (BDESH),7,54,7.71,0,0,2003
KN Amalean (SL),6,9,9.00,0,0,1986
KN Amalean (SL),2,6,6.00,0,0,1988
Aman Ali (UAE),1,0,0.00,0,0,2008
M Amarnath (INDIA),3,1,1.00,0,0,1975
M Amarnath (INDIA),2,29,14.50,0,0,1976
M Amarnath (INDIA),3,85,85.00,0,1,1978
M Amarnath (INDIA),3,16,5.33,0,0,1979
M Amarnath (INDIA),6,71,23.66,0,1,1982
M Amarnath (INDIA),17,468,29.25,0,3,1983
M Amarnath (INDIA),3,6,6.00,0,0,1984
M Amarnath (INDIA),12,64,10.66,0,0,1985
M Amarnath (INDIA),11,309,30.90,0,3,1986
M Amarnath (INDIA),1,33,33.00,0,0,1987
M Amarnath (INDIA),15,584,53.09,2,4,1988
M Amarnath (INDIA),9,258,32.25,0,1,1989
S Amarnath (INDIA),3,100,33.33,0,1,1978
SW Ambris (WI),1,38,-,0,0,2017
SW Ambris (WI),5,278,92.66,1,1,2019
CEL Ambrose (WI),13,42,21.00,0,0,1988
CEL Ambrose (WI),22,82,13.66,0,0,1989
CEL Ambrose (WI),4,1,-,0,0,1990
CEL Ambrose (WI),18,103,11.44,0,0,1991
CEL Ambrose (WI),20,94,13.42,0,0,1992
CEL Ambrose (WI),24,39,9.75,0,0,1993
CEL Ambrose (WI),3,10,10.00,0,0,1994
CEL Ambrose (WI),13,21,4.20,0,0,1995
CEL Ambrose (WI),19,64,8.00,0,0,1996
CEL Ambrose (WI),12,67,16.75,0,0,1997
CEL Ambrose (WI),3,17,17.00,0,0,1998
CEL Ambrose (WI),19,84,7.63,0,0,1999
CEL Ambrose (WI),6,15,7.50,0,0,2000
TR Ambrose (ENG),5,10,2.50,0,0,2008
MKDI Amerasinghe (SL),1,1,-,0,0,2007
MKDI Amerasinghe (SL),7,5,-,0,0,2008
CJA Amini (PNG),2,61,61.00,0,1,2014
CJA Amini (PNG),4,60,15.00,0,0,2018
CJA Amini (PNG),1,5,5.00,0,0,2019
CR Amini (PNG),2,3,-,0,0,2014
Aminul Islam (BDESH),3,37,12.33,0,0,1988
Aminul Islam (BDESH),4,75,75.00,0,0,1990
Aminul Islam (BDESH),3,72,24.00,0,0,1995
Aminul Islam (BDESH),5,126,25.20,0,0,1997
Aminul Islam (BDESH),6,189,47.25,0,2,1998
Aminul Islam (BDESH),12,180,15.00,0,1,1999
Aminul Islam (BDESH),4,82,20.50,0,0,2000
Aminul Islam (BDESH),1,2,2.00,0,0,2001
Aminul Islam (BDESH),1,31,31.00,0,0,2002
Aminul Islam jnr (BDESH),1,1,-,0,0,1999
Amir Hayat (UAE),6,7,3.50,0,0,2018
Amir Hayat (UAE),3,24,24.00,0,0,2019
Amir Hamza (AFG),2,3,3.00,0,0,2012
Amir Hamza (AFG),5,1,1.00,0,0,2014
Amir Hamza (AFG),7,6,6.00,0,0,2015
Amir Hamza (AFG),3,4,2.00,0,0,2016
Amir Hamza (AFG),10,9,4.50,0,0,2017
Amir Hamza (AFG),4,-,-,-,-,2013
DL Amiss (ENG),3,168,56.00,1,0,1972
DL Amiss (ENG),2,134,67.00,1,0,1973
DL Amiss (ENG),1,20,20.00,0,0,1974
DL Amiss (ENG),6,293,48.83,1,1,1975
DL Amiss (ENG),3,93,31.00,0,0,1976
DL Amiss (ENG),3,151,50.33,1,0,1977
Amjad Ali (UAE),2,96,48.00,0,1,2008
Amjad Ali (UAE),7,296,42.28,0,2,2014
Amjad Ali (UAE),8,128,16.00,0,0,2015
Amjad Javed (UAE),1,10,10.00,0,0,2008
Amjad Javed (UAE),2,1,1.00,0,0,2014
Amjad Javed (UAE),6,170,34.00,0,1,2015
Amjad Javed (UAE),2,32,16.00,0,0,2016
Amjad Javed (UAE),4,26,8.66,0,0,2017
HM Amla (SA),10,368,52.57,1,1,2008
HM Amla (SA),12,480,43.63,0,5,2009
HM Amla (SA),15,1058,75.57,5,4,2010
HM Amla (SA),15,632,45.14,2,5,2011
HM Amla (SA),10,678,84.75,2,4,2012
HM Amla (SA),23,838,38.09,2,4,2013
HM Amla (SA),18,892,52.47,5,2,2014
HM Amla (SA),23,1062,50.57,4,3,2015
HM Amla (SA),14,511,39.30,2,2,2016
HM Amla (SA),18,862,50.70,3,4,2017
HM Amla (SA),11,315,28.63,0,2,2018
HM Amla (SA),5,214,53.50,1,1,2019
PK Amre (INDIA),8,130,21.66,0,1,1991
PK Amre (INDIA),14,244,24.40,0,1,1992
PK Amre (INDIA),12,120,15.00,0,0,1993
PK Amre (INDIA),3,19,19.00,0,0,1994
Anamul Haque (BDESH),5,195,39.00,1,0,2012
Anamul Haque (BDESH),4,66,22.00,0,0,2013
Anamul Haque (BDESH),18,631,37.11,2,3,2014
Anamul Haque (BDESH),3,58,29.00,0,0,2015
Anamul Haque (BDESH),7,88,12.57,0,0,2018
CJ Anderson (NZ),6,127,25.40,0,0,2013
CJ Anderson (NZ),12,350,43.75,1,1,2014
CJ Anderson (NZ),17,441,33.92,0,3,2015
CJ Anderson (NZ),9,129,14.33,0,0,2016
CJ Anderson (NZ),5,62,12.40,0,0,2017
J Anderson (IRE),3,40,13.33,0,0,2014
J Anderson (IRE),5,111,22.20,0,0,2016
JM Anderson (ENG),3,7,3.50,0,0,2002
JM Anderson (ENG),24,21,4.20,0,0,2003
JM Anderson (ENG),12,13,13.00,0,0,2004
JM Anderson (ENG),5,11,11.00,0,0,2005
JM Anderson (ENG),9,33,11.00,0,0,2006
JM Anderson (ENG),28,21,4.20,0,0,2007
JM Anderson (ENG),20,20,4.00,0,0,2008
JM Anderson (ENG),19,21,7.00,0,0,2009
JM Anderson (ENG),13,12,6.00,0,0,2010
JM Anderson (ENG),18,40,20.00,0,0,2011
JM Anderson (ENG),13,5,2.50,0,0,2012
JM Anderson (ENG),10,33,33.00,0,0,2013
JM Anderson (ENG),10,22,11.00,0,0,2014
JM Anderson (ENG),10,14,7.00,0,0,2015
RW Anderson (NZ),1,4,-,0,0,1976
RW Anderson (NZ),1,12,12.00,0,0,1978
JO Angara (KENYA),1,3,-,0,0,1997
JO Angara (KENYA),2,3,3.00,0,0,1998
JO Angara (KENYA),4,6,6.00,0,0,1999
JO Angara (KENYA),7,11,3.66,0,0,2002
JO Angara (KENYA),2,0,0.00,0,0,2003
JO Angara (KENYA),1,-,-,-,-,2001
J Angel (AUS),2,0,0.00,0,0,1994
J Angel (AUS),1,-,-,-,-,1995
Anil Dalpat (PAK),5,6,3.00,0,0,1984
Anil Dalpat (PAK),9,78,15.60,0,0,1985
Anil Dalpat (PAK),1,3,-,0,0,1986
Anisur Rahman (BDESH),1,2,2.00,0,0,1995
Anisur Rahman (BDESH),1,0,0.00,0,0,1998
SA Ankola (INDIA),3,7,7.00,0,0,1989
SA Ankola (INDIA),6,7,7.00,0,0,1993
SA Ankola (INDIA),5,0,0.00,0,0,1994
SA Ankola (INDIA),5,20,4.00,0,0,1997
SA Ankola (INDIA),1,-,-,-,-,1996
Ankur Vasishta (HKG),4,36,12.00,0,0,2014
ZS Ansari (ENG),1,-,-,-,-,2015
Anshuman Rath (HKG),2,77,38.50,0,1,2014
Anshuman Rath (HKG),2,89,44.50,0,1,2015
Anshuman Rath (HKG),6,216,43.20,0,2,2016
Anshuman Rath (HKG),2,180,180.00,1,0,2017
Anshuman Rath (HKG),6,266,44.33,0,3,2018
HAG Anthony (WI),3,23,7.66,0,0,1995
SD Anurasiri (SL),9,11,5.50,0,0,1986
SD Anurasiri (SL),8,0,0.00,0,0,1987
SD Anurasiri (SL),6,11,-,0,0,1988
SD Anurasiri (SL),1,5,-,0,0,1989
SD Anurasiri (SL),4,14,14.00,0,0,1990
SD Anurasiri (SL),11,21,10.50,0,0,1992
SD Anurasiri (SL),1,0,-,0,0,1994
SD Anurasiri (SL),5,-,-,-,-,1993
Anwar Ali (PAK),4,92,46.00,0,0,2013
Anwar Ali (PAK),5,81,20.25,0,0,2014
Anwar Ali (PAK),12,132,33.00,0,0,2015
Anwar Ali (PAK),1,16,16.00,0,0,2016
Anwar Hossain Monir (BDESH),1,0,-,0,0,2002
Anwar Hossain (BDESH),1,42,42.00,0,0,2002
GJAF Aponso (NL),5,120,30.00,0,1,1996
MA Aponso (SL),5,6,6.00,0,0,2016
MA Aponso (SL),3,4,2.00,0,0,2018
MA Aponso (SL),1,-,-,-,-,2017
Aqib Ilyas (OMAN),1,11,11.00,0,0,2019
Arafat Sunny (BDESH),8,10,5.00,0,0,2014
Arafat Sunny (BDESH),8,38,19.00,0,0,2015
JC Archer (ENG),3,-,-,-,-,2019
Ariful Haque (BDESH),1,-,-,-,-,2018
GG Arnold (ENG),3,11,-,0,0,1972
GG Arnold (ENG),3,17,17.00,0,0,1973
GG Arnold (ENG),3,2,2.00,0,0,1974
GG Arnold (ENG),5,18,18.00,0,0,1975
RP Arnold (SL),1,11,11.00,0,0,1997
RP Arnold (SL),2,3,3.00,0,0,1998
RP Arnold (SL),14,505,45.90,1,2,1999
RP Arnold (SL),21,530,44.16,0,4,2000
RP Arnold (SL),34,851,40.52,0,8,2001
RP Arnold (SL),32,753,37.65,0,5,2002
RP Arnold (SL),16,157,13.08,0,0,2003
RP Arnold (SL),8,101,25.25,0,1,2004
RP Arnold (SL),16,380,34.54,0,3,2005
RP Arnold (SL),21,446,34.30,0,3,2006
RP Arnold (SL),15,213,35.50,0,2,2007
KJ Arnott (ZIM),4,112,37.33,0,2,1987
KJ Arnott (ZIM),5,94,23.50,0,1,1992
KJ Arnott (ZIM),4,32,10.66,0,0,1993
Arshad Ali (UAE),2,7,3.50,0,0,2004
Arshad Ali (UAE),2,47,23.50,0,0,2008
Arshad Ayub (INDIA),2,10,5.00,0,0,1987
Arshad Ayub (INDIA),14,66,22.00,0,0,1988
Arshad Ayub (INDIA),13,34,8.50,0,0,1989
Arshad Ayub (INDIA),3,6,6.00,0,0,1990
Arshad Khan (PAK),1,0,-,0,0,1993
Arshad Khan (PAK),4,15,15.00,0,0,1995
Arshad Khan (PAK),4,6,6.00,0,0,1997
Arshad Khan (PAK),3,21,-,0,0,1998
Arshad Khan (PAK),12,38,9.50,0,0,1999
Arshad Khan (PAK),24,25,5.00,0,0,2000
Arshad Khan (PAK),8,28,-,0,0,2005
Arshad Khan (PAK),2,-,-,-,-,2006
Arshad Laeeq (UAE),2,35,17.50,0,0,1994
Arshad Laeeq (UAE),4,66,22.00,0,0,1996
Arshad Pervez (PAK),2,11,5.50,0,0,1978
KLT Arthurton (WI),1,27,27.00,0,0,1988
KLT Arthurton (WI),12,203,29.00,0,1,1989
KLT Arthurton (WI),3,0,0.00,0,0,1990
KLT Arthurton (WI),9,170,24.28,0,1,1991
KLT Arthurton (WI),17,297,27.00,0,2,1992
KLT Arthurton (WI),15,461,51.22,0,4,1993
KLT Arthurton (WI),14,318,22.71,0,1,1994
KLT Arthurton (WI),10,174,29.00,0,0,1995
KLT Arthurton (WI),5,2,0.40,0,0,1996
KLT Arthurton (WI),5,119,59.50,0,0,1998
KLT Arthurton (WI),14,133,13.30,0,0,1999
B Arun (INDIA),1,8,8.00,0,0,1986
B Arun (INDIA),3,13,13.00,0,0,1987
J Arun Lal (INDIA),2,15,7.50,0,0,1982
J Arun Lal (INDIA),3,16,5.33,0,0,1983
J Arun Lal (INDIA),1,7,7.00,0,0,1987
J Arun Lal (INDIA),5,77,15.40,0,1,1988
J Arun Lal (INDIA),2,7,3.50,0,0,1989
Asad Ali (PAK),4,13,6.50,0,0,2013
Asad Shafiq (PAK),10,236,23.60,0,1,2010
Asad Shafiq (PAK),14,427,38.81,0,4,2011
Asad Shafiq (PAK),11,267,26.70,0,2,2012
Asad Shafiq (PAK),11,166,15.09,0,1,2013
Asad Shafiq (PAK),7,128,18.28,0,1,2014
Asad Shafiq (PAK),5,94,31.33,0,0,2015
Asad Shafiq (PAK),2,18,9.00,0,0,2017
Asghar Afghan (AFG),3,62,20.66,0,0,2009
Asghar Afghan (AFG),13,284,28.40,0,2,2010
Asghar Afghan (AFG),2,20,10.00,0,0,2011
Asghar Afghan (AFG),4,98,32.66,0,1,2012
Asghar Afghan (AFG),4,47,15.66,0,0,2013
Asghar Afghan (AFG),9,267,33.37,0,1,2014
Asghar Afghan (AFG),15,250,16.66,0,1,2015
Asghar Afghan (AFG),12,174,14.50,0,1,2016
Asghar Afghan (AFG),16,357,23.80,1,1,2017
Asghar Afghan (AFG),16,228,20.72,0,1,2018
Asghar Afghan (AFG),8,291,58.20,0,3,2019
Asghar Ali (UAE),2,14,7.00,0,0,2004
Ashfaq Ahmed (UAE),9,300,33.33,0,2,2018
Ashfaq Ahmed (UAE),7,44,6.28,0,0,2019
Ashfaq Ahmed (PAK),3,-,-,-,-,1994
Ashraf Ali (PAK),5,30,30.00,0,0,1981
Ashraf Ali (PAK),2,3,3.00,0,0,1982
